Country_code_A3,Name,year,co2_gg,co2_mt,ch4_gg,ch4_mt,n2o_gg,n2o_mt,gdp_annual_growth,post_paris,co2_mt_mean,co2_gg_mean,rank
JPN,Japan,1988,1060644.3276805,1060.6443276805,2707.0242061922,2.7070242061922,116.15561190379,.11615561190379,6.6616364,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1989,1090470.7738953,1090.4707738953,2712.0141116538,2.7120141116538,117.38439550174,.11738439550174,4.9257855,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1990,1162286.2551659,1162.2862551659,2428.5028050752,2.4285028050752,109.73688579034,.10973688579034,4.840929,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1991,1172036.7936879,1172.0367936879,2404.2890954084,2.4042890954084,111.85015586135,.11185015586135,3.5233572,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1992,1177372.0677159,1177.3720677159,2419.760657444,2.419760657444,118.0190748311,.1180190748311,.90058607,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1993,1169827.6179192,1169.8276179192,2363.7946374654,2.3637946374654,120.05009536104,.12005009536104,-.45921972,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1994,1223346.4209126,1223.3464209126,2424.4963243589,2.4244963243589,129.35419769626,.12935419769626,1.0833832,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1995,1233224.2879225,1233.2242879225,2360.3194754343,2.3603194754343,130.40654880506,.13040654880506,2.6309996,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1996,1246029.0393415,1246.0290393415,2295.5938746171,2.2955938746171,140.14912143723,.14014912143723,3.1338711,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1997,1231696.7640797,1231.6967640797,2212.1593000604,2.2121593000604,138.88680376184,.13888680376184,.98122871,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1998,1184390.3864499,1184.3903864499,2108.235965747,2.108235965747,140.24973041682,.14024973041682,-1.2703305,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1999,1225171.5740578,1225.1715740578,2073.4235689714,2.0734235689714,130.76274711446,.13076274711446,-.33392996,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2000,1243576.7602232,1243.5767602232,2028.1696158947,2.0281696158947,99.553587587591,.099553587587591,2.7646475,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2001,1229989.4625809,1229.9894625809,1979.8864515914,1.9798864515914,97.76552936232,.09776552936232,.38610342,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2002,1264500.8542756,1264.5008542756,1958.5240865493,1.9585240865493,95.346445278258,.095346445278258,.041962501,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2003,1271926.7492672,1271.9267492672,1928.9893749439,1.9289893749439,94.021693524718,.094021693524718,1.5351255,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2004,1267044.9355844,1267.0449355844,1935.9016446386,1.9359016446386,92.45905371665199,.092459053716652,2.1861157,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2005,1278684.9381054,1278.6849381054,1913.3363743209,1.9133363743209,88.962749526274,.088962749526274,1.8039008,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2006,1256038.3057195,1256.0383057195,1945.880764652,1.945880764652,85.679531381007,.085679531381007,1.3723501,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2007,1291735.2110446,1291.7352110446,1992.3761298295,1.9923761298295,84.384531624659,.084384531624659,1.4839694,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2008,1220765.2930805,1220.7652930805,2008.1360550124,2.0081360550124,79.54125496152,.07954125496152,-1.2242891,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2009,1157494.9523199,1157.4949523199,2024.1917730753,2.0241917730753,72.936170452125,.072936170452125,-5.6932364,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2010,1217064.064125,1217.064064125,2076.5285910085,2.0765285910085,74.423208537235,.074423208537235,4.097918,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2011,1269889.6562099,1269.8896562099,1985.7993731084,1.9857993731084,72.48978898508,.07248978898508,.023809524,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2012,1308401.6346541,1308.4016346541,1964.8487941958,1.9648487941958,72.06912264892,.07206912264892,1.374751,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2013,1323489.9325635,1323.4899325635,1987.5955909693,1.9875955909693,72.297704392833,.072297704392833,2.0051003,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2014,1273569.7865021,1273.5697865021,1950.2843731538,1.9502843731538,69.557028134153,.069557028134153,.29620552,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2015,1232576.2244136,1232.5762244136,1906.9898132841,1.9069898132841,68.53781137302801,.068537811373028,1.5606267,0,1099.353121993142,1099353.121993142,5
JPN,Japan,2016,1228653.7197209,1228.6537197209,1894.7798035767,1.8947798035767,67.657784993281,.067657784993281,.75382674,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2017,1212942.3327275,1212.9423327275,1889.3507473761,1.8893507473761,68.068829203828,.068068829203828,1.6753317,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2018,1163127.764894,1163.127764894,1864.5035616171,1.8645035616171,66.369968047,.066369968047,.64339101,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2019,1123812.9658209,1123.8129658209,1848.3179276687,1.8483179276687,65.733879527751,.065733879527751,-.4021692,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2020,1060226.923347,1060.226923347,1834.1310813817,1.8341310813817,64.161957468248,.064161957468248,-4.1687646,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2021,1080205.9879512,1080.2059879512,1846.8121117034,1.8468121117034,65.722382345469,.065722382345469,2.696574,1,1099.353121993142,1099353.121993142,5
JPN,Japan,2022,1050503.2369554,1050.5032369554,1835.5657699317,1.8355657699317,64.989083285254,.064989083285254,.94199878,1,1099.353121993142,1099353.121993142,5
